Unique ID,SKIP resource name,SKIP download link,SKIP Resource Link,asset ,image,document,SKIP FileType,SKIP Location/Source SKIP,state name,SKIP Migrate or Don't Migrate,SKIP Corporate Resource,SKIP Dine Out Resource,SKIP Blogger,SKIP Local Market,SKIP Additional NKH notes ,SKIP CHIEF Response,Title,SKIP 11/8 CHIEF Notes,Resource Description,Corporate Partner Description,Local Market Description,DineOut description,FileType,Category,SKIP CHIEF Notes 11.8,SKIP NKH Approval 11.8
50,,0129.jpg,,0129.jpg,0129.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,FOR ALL .JPG FILES/PHOTOS BELOW - WOULD LIKE THE OPTION TO UPDATE THESE IMAGES IN PHASE 1 OR PHASE 2,any updates to these files can be made in the Change Log document that was shared with the NKH team. Please make sure you note the name of the document that's been changed and the new file name. ,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
51,,20120315-cooking-matters-AR-0461.jpg,,20120315-cooking-matters-AR-0461.jpg,20120315-cooking-matters-AR-0461.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,FROM NKH: All image files we've titled as either No Kid Hungry photo or Stock photo. Please keep under these broad titles rather than a specific title per image file.,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
52,,20120320-cooking-matters-CO-0754.jpg,,20120320-cooking-matters-CO-0754.jpg,20120320-cooking-matters-CO-0754.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
53,,20120321-cooking-matters-CO-0099.jpg,,20120321-cooking-matters-CO-0099.jpg,20120321-cooking-matters-CO-0099.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
54,,20120321-cooking-matters-CO-0107.jpg,,20120321-cooking-matters-CO-0107.jpg,20120321-cooking-matters-CO-0107.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
55,,20120321-cooking-matters-CO-0154.jpg,,20120321-cooking-matters-CO-0154.jpg,20120321-cooking-matters-CO-0154.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
56,,20120321-cooking-matters-CO-0214.jpg,,20120321-cooking-matters-CO-0214.jpg,20120321-cooking-matters-CO-0214.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
57,,20120717-ShareOurStrength_CT-0163_edited.jpg,,20120717-ShareOurStrength_CT-0163_edited.jpg,20120717-ShareOurStrength_CT-0163_edited.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
58,,20120718-ShareOurStrength_CT-0180.jpg,,20120718-ShareOurStrength_CT-0180.jpg,20120718-ShareOurStrength_CT-0180.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
59,,20130215-east-boston-ymca-0126.jpg,,20130215-east-boston-ymca-0126.jpg,20130215-east-boston-ymca-0126.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
60,,20130215-east-boston-ymca-0149.jpg,,20130215-east-boston-ymca-0149.jpg,20130215-east-boston-ymca-0149.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
61,,20130215-east-boston-ymca-0235.jpg,,20130215-east-boston-ymca-0235.jpg,20130215-east-boston-ymca-0235.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
62,,20130215-east-boston-ymca-0308.jpg,,20130215-east-boston-ymca-0308.jpg,20130215-east-boston-ymca-0308.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
63,,20130724-Arkansas-0475.jpg,,20130724-Arkansas-0475.jpg,20130724-Arkansas-0475.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
64,,20130725-Arkansas-0386_crop.jpg,,20130725-Arkansas-0386_crop.jpg,20130725-Arkansas-0386_crop.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
65,,20130820-denver-0198.jpg,,20130820-denver-0198.jpg,20130820-denver-0198.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
66,,20130822-denver-0345.jpg,,20130822-denver-0345.jpg,20130822-denver-0345.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
67,,Balt_PRN_3226.jpg,,Balt_PRN_3226.jpg,Balt_PRN_3226.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
68,,IMG_5892.jpg,,IMG_5892.jpg,IMG_5892.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
69,,IMG_6028.jpg,,IMG_6028.jpg,IMG_6028.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
70,,IMG_6105.jpg,,IMG_6105.jpg,IMG_6105.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
71,,IMG_6477.jpg,,IMG_6477.jpg,IMG_6477.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
72,,IMG_6581.jpg,,IMG_6581.jpg,IMG_6581.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
73,,IMG_6722.jpg,,IMG_6722.jpg,IMG_6722.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
74,,IMG_6785.jpg,,IMG_6785.jpg,IMG_6785.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
75,,IMG_6836.jpg,,IMG_6836.jpg,IMG_6836.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
76,,IMG_6848.jpg,,IMG_6848.jpg,IMG_6848.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
77,,SOS_43620.jpg,,SOS_43620.jpg,SOS_43620.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,No Kid Hungry photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,No Kid Hungry Photos,ok term,
78,,2-boys-lunch-tray.jpg,,2-boys-lunch-tray.jpg,2-boys-lunch-tray.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
79,,84463054.jpg,,84463054.jpg,84463054.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
80,,boy-with-sandwich.jpg,,boy-with-sandwich.jpg,boy-with-sandwich.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
81,,boyapple.jpg,,boyapple.jpg,boyapple.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
82,,boyorange.jpg,,boyorange.jpg,boyorange.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
83,,GettyImages_89024571.jpg,,GettyImages_89024571.jpg,GettyImages_89024571.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
84,,GettyImages_91285197.jpg,,GettyImages_91285197.jpg,GettyImages_91285197.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
85,,GettyImages_100372616.jpg,,GettyImages_100372616.jpg,GettyImages_100372616.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
86,,GettyImages-81748714.jpg,,GettyImages-81748714.jpg,GettyImages-81748714.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
87,,GettyImages-88621293.jpg,,GettyImages-88621293.jpg,GettyImages-88621293.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
88,,GettyImages-88621707.jpg,,GettyImages-88621707.jpg,GettyImages-88621707.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
89,,GettyImages-150968856.jpg,,GettyImages-150968856.jpg,GettyImages-150968856.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
90,,GettyImages-155292087.jpg,,GettyImages-155292087.jpg,GettyImages-155292087.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
91,,GettyImages-172601158.jpg,,GettyImages-172601158.jpg,GettyImages-172601158.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
92,,GettyImages-179165247.jpg,,GettyImages-179165247.jpg,GettyImages-179165247.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
93,,GettyImages-180407026.jpg,,GettyImages-180407026.jpg,GettyImages-180407026.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
94,,GettyImages-180408556.jpg,,GettyImages-180408556.jpg,GettyImages-180408556.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
95,,GettyImages-181215797.jpg,,GettyImages-181215797.jpg,GettyImages-181215797.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
96,,GettyImages-182817266.jpg,,GettyImages-182817266.jpg,GettyImages-182817266.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
97,,GettyImages-182852171.jpg,,GettyImages-182852171.jpg,GettyImages-182852171.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
98,,GettyImages-200167299-001.jpg,,GettyImages-200167299-001.jpg,GettyImages-200167299-001.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
99,,GettyImages-455672753.jpg,,GettyImages-455672753.jpg,GettyImages-455672753.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
100,,GettyImages-465511687.jpg,,GettyImages-465511687.jpg,GettyImages-465511687.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
101,,GettyImages-467120870.jpg,,GettyImages-467120870.jpg,GettyImages-467120870.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
102,,GettyImages-482142409.jpg,,GettyImages-482142409.jpg,GettyImages-482142409.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
103,,GettyImages-533977911.jpg,,GettyImages-533977911.jpg,GettyImages-533977911.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
104,,GettyImages-533977983.jpg,,GettyImages-533977983.jpg,GettyImages-533977983.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
105,,GettyImages-535723971.jpg,,GettyImages-535723971.jpg,GettyImages-535723971.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
106,,girlheight.jpg,,girlheight.jpg,girlheight.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
107,,girlonbike.jpg,,girlonbike.jpg,girlonbike.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
108,,girlorange.jpg,,girlorange.jpg,girlorange.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
109,,hopscotch.jpg,,hopscotch.jpg,hopscotch.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
110,,ISP2011640boywriting.jpg,,ISP2011640boywriting.jpg,ISP2011640boywriting.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
111,,leaf-boy.jpg,,leaf-boy.jpg,leaf-boy.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
112,,lunchline.jpg,,lunchline.jpg,lunchline.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
113,,shutterstock_66114088.jpg,,shutterstock_66114088.jpg,shutterstock_66114088.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
114,,shutterstock_121114285.jpg,,shutterstock_121114285.jpg,shutterstock_121114285.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,
115,,threefriends.jpg,,threefriends.jpg,threefriends.jpg,,jpg,only in Dropbox - Dine Out for No Kid Hugry Partner Resources folder,,migrate,yes,yes,,,,,Stock photo,Migrate,"Use this photo in your assets to demonstrate your partnership with No Kid Hungry, enhance promotion materials, and/or amplify any messaging related to No Kid Hungry.",,,,Image,Stock Photos,ok term,